horizon,task_id,init_state_id,success,env_steps,policy_forwards
50,2,0,False,280,6
50,2,1,True,280,6
50,2,2,False,280,6
50,2,3,False,280,6
50,2,4,True,280,6
50,2,5,False,280,6
50,2,6,True,280,6
50,2,7,False,280,6
50,2,8,False,280,6
50,2,9,False,280,6
10,2,0,False,280,28
10,2,1,False,280,28
10,2,2,False,280,28
10,2,3,False,280,28
10,2,4,False,280,28
10,2,5,True,280,28
10,2,6,False,280,28
10,2,7,False,280,28
10,2,8,False,280,28
10,2,9,False,280,28
5,2,0,False,280,56
5,2,1,False,280,56
5,2,2,False,280,56
5,2,3,False,280,56
5,2,4,False,280,56
5,2,5,False,280,56
5,2,6,False,280,56
5,2,7,False,280,56
5,2,8,False,280,56
5,2,9,False,280,56
