checkpoint,run,task_id,init_state,policy_seed,success
5k,m3_main_5k/step_5000,0,0,20260831,False
5k,m3_main_5k/step_5000,0,1,20260832,False
5k,m3_main_5k/step_5000,0,2,20260833,False
5k,m3_main_5k/step_5000,0,3,20260834,False
5k,m3_main_5k/step_5000,0,4,20260835,False
5k,m3_main_5k/step_5000,0,5,20260836,False
5k,m3_main_5k/step_5000,0,6,20260837,False
5k,m3_main_5k/step_5000,0,7,20260838,False
5k,m3_main_5k/step_5000,0,8,20260839,False
5k,m3_main_5k/step_5000,0,9,20260840,False
5k,m3_main_5k/step_5000,2,0,20261031,False
5k,m3_main_5k/step_5000,2,1,20261032,False
5k,m3_main_5k/step_5000,2,2,20261033,True
5k,m3_main_5k/step_5000,2,3,20261034,False
5k,m3_main_5k/step_5000,2,4,20261035,True
5k,m3_main_5k/step_5000,2,5,20261036,False
5k,m3_main_5k/step_5000,2,6,20261037,False
5k,m3_main_5k/step_5000,2,7,20261038,False
5k,m3_main_5k/step_5000,2,8,20261039,False
5k,m3_main_5k/step_5000,2,9,20261040,False
5k,m3_main_5k/step_5000,6,0,20261431,False
5k,m3_main_5k/step_5000,6,1,20261432,False
5k,m3_main_5k/step_5000,6,2,20261433,False
5k,m3_main_5k/step_5000,6,3,20261434,False
5k,m3_main_5k/step_5000,6,4,20261435,False
5k,m3_main_5k/step_5000,6,5,20261436,False
5k,m3_main_5k/step_5000,6,6,20261437,False
5k,m3_main_5k/step_5000,6,7,20261438,False
5k,m3_main_5k/step_5000,6,8,20261439,False
5k,m3_main_5k/step_5000,6,9,20261440,False
20k,m6_resume_20k/step_20000,0,0,20260831,False
20k,m6_resume_20k/step_20000,0,1,20260832,False
20k,m6_resume_20k/step_20000,0,2,20260833,False
20k,m6_resume_20k/step_20000,0,3,20260834,False
20k,m6_resume_20k/step_20000,0,4,20260835,False
20k,m6_resume_20k/step_20000,0,5,20260836,False
20k,m6_resume_20k/step_20000,0,6,20260837,False
20k,m6_resume_20k/step_20000,0,7,20260838,False
20k,m6_resume_20k/step_20000,0,8,20260839,False
20k,m6_resume_20k/step_20000,0,9,20260840,False
20k,m6_resume_20k/step_20000,2,0,20261031,False
20k,m6_resume_20k/step_20000,2,1,20261032,True
20k,m6_resume_20k/step_20000,2,2,20261033,False
20k,m6_resume_20k/step_20000,2,3,20261034,False
20k,m6_resume_20k/step_20000,2,4,20261035,True
20k,m6_resume_20k/step_20000,2,5,20261036,False
20k,m6_resume_20k/step_20000,2,6,20261037,False
20k,m6_resume_20k/step_20000,2,7,20261038,True
20k,m6_resume_20k/step_20000,2,8,20261039,False
20k,m6_resume_20k/step_20000,2,9,20261040,False
20k,m6_resume_20k/step_20000,6,0,20261431,False
20k,m6_resume_20k/step_20000,6,1,20261432,False
20k,m6_resume_20k/step_20000,6,2,20261433,False
20k,m6_resume_20k/step_20000,6,3,20261434,False
20k,m6_resume_20k/step_20000,6,4,20261435,False
20k,m6_resume_20k/step_20000,6,5,20261436,False
20k,m6_resume_20k/step_20000,6,6,20261437,False
20k,m6_resume_20k/step_20000,6,7,20261438,False
20k,m6_resume_20k/step_20000,6,8,20261439,False
20k,m6_resume_20k/step_20000,6,9,20261440,True
