task_id,init_state,ck5k,ck20k
0,0,False,False
0,1,False,False
0,2,False,False
0,3,False,False
0,4,False,False
0,5,False,False
0,6,False,False
0,7,False,False
0,8,False,False
0,9,False,False
2,0,False,False
2,1,False,True
2,2,True,False
2,3,False,False
2,4,True,True
2,5,False,False
2,6,False,False
2,7,False,True
2,8,False,False
2,9,False,False
6,0,False,False
6,1,False,False
6,2,False,False
6,3,False,False
6,4,False,False
6,5,False,False
6,6,False,False
6,7,False,False
6,8,False,False
6,9,False,True
